name,country,party,national_party,profile_url,mep_id,photo_url
Abir Al-Sahlani,Sweden,Renew Europe Group,Centre Party,https://www.europarl.europa.eu/meps/en/197400,197400.0,http://commons.wikimedia.org/wiki/Special:FilePath/Abir%20Al-Sahlini%2001.JPG
Adam Bielan,Poland,European Conservatives and Reformists Group,Partia Republikańska,https://www.europarl.europa.eu/meps/en/23788,23788.0,http://commons.wikimedia.org/wiki/Special:FilePath/Adam%20Bielan%203.JPG
Adam Jarubas,Poland,Group of the European People's Party (Christian Democrats),Polish People's Party,https://www.europarl.europa.eu/meps/en/197517,197517.0,http://commons.wikimedia.org/wiki/Special:FilePath/Adam%20Jarubas%20Sejm%202015.JPG
Adina-Ioana Vălean,Romania,,National Liberal Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718281621016%2020240611%20VALEAN%20Adina-Ioana%20RO%20011.jpg
Adnan Dibrani,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Swedish Social Democratic Party,https://www.europarl.europa.eu/meps/en/257087,257087.0,http://commons.wikimedia.org/wiki/Special:FilePath/Adnan%20Dibrani%2C%20riksdagsledamot.jpg
Adrian Axinia,Romania,Group of the European Conservatives and Reformists,Alliance for the Union of Romanians,https://www.europarl.europa.eu/meps/en/257117/ADRIAN-GEORGE_AXINIA/home,257117.0,http://commons.wikimedia.org/wiki/Special:FilePath/Adrian-George%20Axinia%20MEP%20%282024%29.jpg
Adrián Vázquez Lázara,Spain,Group of the European People's Party (Christian Democrats),,https://www.europarl.europa.eu/meps/en/204400,204400.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721813840443%2020240723%20EP-171139A%20AR2%20014.jpg
Afroditi Latinopoulou,Greece,Patriots for Europe Group,National Creation,https://www.europarl.europa.eu/meps/en/256954,256954.0,
Alberico Gambino,Italy,European Conservatives and Reformists Group,,https://www.europarl.europa.eu/meps/en/257097,257097.0,http://commons.wikimedia.org/wiki/Special:FilePath/Alberico%20Gambino%20MEP%20%282024%29.jpg
Aldo Patriciello,Italy,Patriots for Europe Group,Union of the Centre (1993-1998),https://www.europarl.europa.eu/meps/en/36392,36392.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Aldo%20Patriciello.jpg
