name,country,party,national_party,mep_id,attendance_pct,votes_cast,votes_total_period,special_role,sick_leave,partial_term
Abir Al-Sahlani,Sweden,Renew Europe (RE),Centre Party,197400,96.4,1128,1170,,False,False
Adam Bielan,Poland,European Conservatives and Reformists (ECR),Partia Republikańska,23788,99,1158,1170,,False,False
Adam Jarubas,Poland,European People's Party (EPP),Polish People's Party,197517,91.4,1069,1170,,False,False
Adnan Dibrani,Sweden,Progressive Alliance of Socialists and Democrats (S&D),Swedish Social Democratic Party,257087,90.2,1055,1170,,False,False
Adrián Vázquez Lázara,Spain,European People's Party (EPP),Group of the European People's Party (Christian Democrats),204400,71.1,832,1170,,False,False
Afroditi Latinopoulou,Greece,The Patriots for Europe (PfE),National Creation,256954,77.9,912,1170,,False,False
Alberico Gambino,Italy,European Conservatives and Reformists (ECR),European Conservatives and Reformists Group,257097,98.9,1157,1170,,False,False
Aldo Patriciello,Italy,The Patriots for Europe (PfE),Union of the Centre (1993-1998),36392,46.4,543,1170,,False,False
Aleksandar Nikolic,France,The Patriots for Europe (PfE),National Rally,256883,94.7,1108,1170,,False,False
Alessandra Moretti,Italy,Progressive Alliance of Socialists and Democrats (S&D),Democratic Party,124799,97.9,1145,1170,,False,False
Alessandro Ciriani,Italy,European Conservatives and Reformists (ECR),independent politician,257147,89.2,1044,1170,,False,False
Alessandro Zan,Italy,Progressive Alliance of Socialists and Democrats (S&D),Democratic Party,257106,87.4,1022,1170,,False,False
Alex Agius Saliba,Malta,Progressive Alliance of Socialists and Democrats (S&D),Labour Party,197403,95.6,1119,1170,,False,False
Alexander Bernhuber,Austria,European People's Party (EPP),Austrian People's Party,197648,83.1,972,1170,,False,False
Alexander Jungbluth,Germany,Europe of Sovereign Nations (ESN),Europe of Sovereign Nations,256941,99.1,1160,1170,,False,False
Alexander Sell,Germany,Europe of Sovereign Nations (ESN),Europe of Sovereign Nations,256959,98.7,1155,1170,,False,False
Alexandr Vondra,Czech Republic,European Conservatives and Reformists (ECR),Civic Democratic Party,197537,90.7,1061,1170,,False,False
Alexandra Geese,Germany,Greens/European Free Alliance (Greens/EFA),Alliance '90/The Greens,183916,98.8,1156,1170,,False,False
Alexandra Mehnert,Germany,European People's Party (EPP),Christian Democratic Union,256980,94.5,1106,1170,,False,False
Alexandre Varaut,France,The Patriots for Europe (PfE),Union for a Popular Movement,5736,93.8,1097,1170,,False,False
Alice Bah Kuhnke,Sweden,Renew Europe (RE),Green Party,197395,0,0,0,,False,False
Alice Teodorescu Måwe,Sweden,European People's Party (EPP),Christian Democrats,257089,93.5,1094,1170,,False,False
Alicia Homs Ginel,Spain,Progressive Alliance of Socialists and Democrats (S&D),Spanish Socialist Workers' Party,122978,99.6,1165,1170,,False,False
Alvise Pérez,Spain,The Left in the European Parliament (GUE/NGL),The Party Is Over,257019,44.7,523,1170,,False,False
Ana Catarina Mendes,Portugal,Progressive Alliance of Socialists and Democrats (S&D),Socialist Party,257053,78.7,921,1170,,False,False
Ana Martins,Portugal,,,257063,0,0,0,,False,False
Ana Miguel Pedro,Portugal,European People's Party (EPP),Group of the European People's Party (Christian Democrats),110673,79.8,934,1170,,False,False
Ana Miranda Paz,Spain,Greens/European Free Alliance (Greens/EFA),Galician Nationalist Bloc,24942,98.4,1151,1170,,False,False
Anders Vistisen,Denmark,The Patriots for Europe (PfE),Danish People's Party,124875,86.5,1012,1170,,False,False
Andrea Wechsler,Germany,European People's Party (EPP),Christian Democratic Union,256977,94.3,1103,1170,,False,False
Andreas Glück,Germany,Renew Europe (RE),Free Democratic Party,197443,73.7,862,1170,,False,False
Andreas Schieder,Austria,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Austria,197670,99.6,1165,1170,,False,False
Andreas Schwab,Germany,European People's Party (EPP),Christian Democratic Union,28223,97.7,1143,1170,,False,False
Andrey Kovatchev,Bulgaria,European People's Party (EPP),Citizens for European Development of Bulgaria,97968,94.8,1109,1170,,False,False
Andrey Novakov,Bulgaria,European People's Party (EPP),Citizens for European Development of Bulgaria,107212,96.2,1126,1170,,False,False
Andrius Kubilius,Lithuania,The Patriots for Europe (PfE),Homeland Union – Lithuanian Christian Democrats,,0,0,0,,False,False
Andrzej Buła,Poland,European People's Party (EPP),Civic Platform,257051,99.7,1166,1170,,False,False
Andrzej Halicki,Poland,European People's Party (EPP),Civic Platform,197514,98.6,1154,1170,,False,False
