vote_id,vote_date,title,result,olp_stage,total_for,total_against,total_abstain,source_url
172886,2025-03-13 12:13:56,Social and employment aspects of restructuring processes: the need to protect jobs and workers’ rights,ADOPTED,,404,204,15,https://www.europarl.europa.eu/plenary/en/votes/172886.xml
172887,2025-03-13 12:14:06,Social and employment aspects of restructuring processes: the need to protect jobs and workers’ rights,REJECTED,,279,313,19,https://www.europarl.europa.eu/plenary/en/votes/172887.xml
172888,2025-03-13 12:14:15,Social and employment aspects of restructuring processes: the need to protect jobs and workers’ rights,ADOPTED,,604,9,8,https://www.europarl.europa.eu/plenary/en/votes/172888.xml
172889,2025-03-13 12:14:25,Social and employment aspects of restructuring processes: the need to protect jobs and workers’ rights,REJECTED,,258,284,83,https://www.europarl.europa.eu/plenary/en/votes/172889.xml
172890,2025-03-13 12:14:35,Social and employment aspects of restructuring processes: the need to protect jobs and workers’ rights,ADOPTED,,473,141,14,https://www.europarl.europa.eu/plenary/en/votes/172890.xml
172891,2025-03-13 12:14:45,Social and employment aspects of restructuring processes: the need to protect jobs and workers’ rights,ADOPTED,,429,175,22,https://www.europarl.europa.eu/plenary/en/votes/172891.xml
172892,2025-03-13 12:14:54,Social and employment aspects of restructuring processes: the need to protect jobs and workers’ rights,ADOPTED,,549,63,8,https://www.europarl.europa.eu/plenary/en/votes/172892.xml
172912,2025-03-13 12:16:45,Social and employment aspects of restructuring processes: the need to protect jobs and workers’ rights,ADOPTED,,440,137,45,https://www.europarl.europa.eu/plenary/en/votes/172912.xml
172913,2025-03-13 12:16:56,Social and employment aspects of restructuring processes: the need to protect jobs and workers’ rights,REJECTED,,278,326,19,https://www.europarl.europa.eu/plenary/en/votes/172913.xml
172922,2025-03-13 12:18:10,Social and employment aspects of restructuring processes: the need to protect jobs and workers’ rights,ADOPTED,,558,25,40,https://www.europarl.europa.eu/plenary/en/votes/172922.xml
172923,2025-03-13 12:18:19,Social and employment aspects of restructuring processes: the need to protect jobs and workers’ rights,ADOPTED,,307,272,38,https://www.europarl.europa.eu/plenary/en/votes/172923.xml
172924,2025-03-13 12:18:29,Social and employment aspects of restructuring processes: the need to protect jobs and workers’ rights,ADOPTED,,385,137,96,https://www.europarl.europa.eu/plenary/en/votes/172924.xml
172925,2025-03-13 12:18:39,Social and employment aspects of restructuring processes: the need to protect jobs and workers’ rights,ADOPTED,,322,218,77,https://www.europarl.europa.eu/plenary/en/votes/172925.xml
172927,2025-03-13 12:18:58,Social and employment aspects of restructuring processes: the need to protect jobs and workers’ rights,ADOPTED,,284,273,57,https://www.europarl.europa.eu/plenary/en/votes/172927.xml
172995,2025-03-13 12:08:12,"Democracy and human rights in Thailand, notably the lese-majesty law and the deportation of Uyghur refugees",ADOPTED,,482,57,68,https://www.europarl.europa.eu/plenary/en/votes/172995.xml
172998,2025-03-13 12:08:43,"Severe political, humanitarian and human rights crisis in Sudan, in particular the sexual violence and child rape",ADOPTED,,499,88,27,https://www.europarl.europa.eu/plenary/en/votes/172998.xml
172999,2025-03-13 12:08:56,"Severe political, humanitarian and human rights crisis in Sudan, in particular the sexual violence and child rape",REJECTED,,177,400,41,https://www.europarl.europa.eu/plenary/en/votes/172999.xml
173000,2025-03-13 12:09:08,"Severe political, humanitarian and human rights crisis in Sudan, in particular the sexual violence and child rape",REJECTED,,113,443,61,https://www.europarl.europa.eu/plenary/en/votes/173000.xml
173001,2025-03-13 12:09:19,"Severe political, humanitarian and human rights crisis in Sudan, in particular the sexual violence and child rape",ADOPTED,,575,7,35,https://www.europarl.europa.eu/plenary/en/votes/173001.xml
173002,2025-03-13 12:09:44,"Unlawful detention and sham trials of Armenian hostages, including high-ranking political representatives from Nagorno-Karabakh, by Azerbaijan",REJECTED,,226,306,51,https://www.europarl.europa.eu/plenary/en/votes/173002.xml
173003,2025-03-13 12:09:56,"Unlawful detention and sham trials of Armenian hostages, including high-ranking political representatives from Nagorno-Karabakh, by Azerbaijan",REJECTED,,165,439,5,https://www.europarl.europa.eu/plenary/en/votes/173003.xml
173005,2025-03-13 12:10:19,"Unlawful detention and sham trials of Armenian hostages, including high-ranking political representatives from Nagorno-Karabakh, by Azerbaijan",ADOPTED,,464,115,39,https://www.europarl.europa.eu/plenary/en/votes/173005.xml
173006,2025-03-13 12:10:29,"Unlawful detention and sham trials of Armenian hostages, including high-ranking political representatives from Nagorno-Karabakh, by Azerbaijan",ADOPTED,,496,42,75,https://www.europarl.europa.eu/plenary/en/votes/173006.xml
173008,2025-03-13 12:12:30,"Unlawful detention and sham trials of Armenian hostages, including high-ranking political representatives from Nagorno-Karabakh, by Azerbaijan",ADOPTED,,523,3,84,https://www.europarl.europa.eu/plenary/en/votes/173008.xml
173686,2025-04-02 12:30:34,EU-Bosnia and Herzegovina Agreement: cooperation between Eurojust and the authorities of Bosnia and Herzegovina competent for judicial cooperation in criminal matters,ADOPTED,,619,9,45,https://www.europarl.europa.eu/plenary/en/votes/173686.xml
173687,2025-04-02 12:29:16,Protocol on the Implementation of the Fisheries Partnership Agreement between the European Community and the Republic of Guinea-Bissau (2024-2029),ADOPTED,,518,104,61,https://www.europarl.europa.eu/plenary/en/votes/173687.xml
173688,2025-04-02 12:27:26,Agreements on Financial Mechanisms for the period May 2021 - April 2028 (EEA: EU-Iceland-Liechtenstein-Norway; Norwegian: EU-Norway); Additional Protocols to EEC-Norway Agreement and to EEC-Iceland Agreement,ADOPTED,,528,121,32,https://www.europarl.europa.eu/plenary/en/votes/173688.xml
173690,2025-04-01 12:15:12,Macro-financial assistance to Jordan,ADOPTED,OLP_FIRST_READING,571,59,46,https://www.europarl.europa.eu/plenary/en/votes/173690.xml
173691,2025-04-01 12:11:33,Re-attribution of scientific and technical tasks to the European Chemicals Agency,ADOPTED,OLP_FIRST_READING,482,110,81,https://www.europarl.europa.eu/plenary/en/votes/173691.xml
173693,2025-04-01 12:12:31,Re-attribution of scientific and technical tasks and improving cooperation among Union agencies in the area of chemicals,ADOPTED,OLP_FIRST_READING,486,171,18,https://www.europarl.europa.eu/plenary/en/votes/173693.xml
173695,2025-04-01 12:09:49,"Common data platform on chemicals, establishing a monitoring and outlook framework for chemicals",ADOPTED,OLP_FIRST_READING,481,170,22,https://www.europarl.europa.eu/plenary/en/votes/173695.xml
173708,2025-04-02 12:32:41,Strengthening the security of identity cards of Union citizens and of residence documents issued to Union citizens and their family members exercising their right of free movement,ADOPTED,,377,279,16,https://www.europarl.europa.eu/plenary/en/votes/173708.xml
173801,2025-04-02 12:26:58,Guidelines for the 2026 budget – Section III,ADOPTED,,441,173,70,https://www.europarl.europa.eu/plenary/en/votes/173801.xml
173897,2025-04-02 13:41:03,Human rights and democracy in the world and the European Union’s policy on the matter – annual report 2024,ADOPTED,,390,116,126,https://www.europarl.europa.eu/plenary/en/votes/173897.xml
173903,2025-04-02 12:30:10,Protocol on the Implementation of the Fisheries Partnership Agreement between the European Community and the Republic of Guinea-Bissau (2024-2029) (Resolution),ADOPTED,,605,68,10,https://www.europarl.europa.eu/plenary/en/votes/173903.xml
174053,2025-04-02 13:22:11,Implementation of the common security and defence policy – annual report 2024,ADOPTED,,399,198,71,https://www.europarl.europa.eu/plenary/en/votes/174053.xml
174055,2025-04-01 12:27:15,Customs duties on imports of certain products originating in the USA,ADOPTED,OLP_FIRST_READING,593,7,35,https://www.europarl.europa.eu/plenary/en/votes/174055.xml
174220,2025-04-02 13:01:14,Implementation of the common foreign and security policy – annual report 2024,ADOPTED,,378,188,105,https://www.europarl.europa.eu/plenary/en/votes/174220.xml
174273,2025-04-01 12:25:50,Macro-financial assistance to Egypt,ADOPTED,OLP_FIRST_READING,452,182,40,https://www.europarl.europa.eu/plenary/en/votes/174273.xml
174285,2025-03-31 17:14:51,Tuesday's agenda – Request by the Verts/ALE Group,REJECTED,,82,357,11,https://www.europarl.europa.eu/plenary/en/votes/174285.xml
174286,2025-03-31 17:15:34,Tuesday's agenda – Request by the PfE Group,REJECTED,,118,326,7,https://www.europarl.europa.eu/plenary/en/votes/174286.xml
174287,2025-03-31 17:18:40,Tuesday's agenda – Request by the The Left Group,REJECTED,,110,335,6,https://www.europarl.europa.eu/plenary/en/votes/174287.xml
174288,2025-04-01 12:07:25,Amending Directives (EU) 2022/2464 and (EU) 2024/1760 as regards the dates from which Member States are to apply certain corporate sustainability reporting and due diligence requirements,ADOPTED,OLP_FIRST_READING,427,221,14,https://www.europarl.europa.eu/plenary/en/votes/174288.xml
