mep_id,name,country,party
"197400","Abir Al-Sahlani","Sweden","Renew Europe Group"
"23788","Adam Bielan","Poland","European Conservatives and Reformists Group"
"197517","Adam Jarubas","Poland","Group of the European People's Party (Christian Democrats)"
"257087","Adnan Dibrani","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"204400","Adrián Vázquez Lázara","Spain","Group of the European People's Party (Christian Democrats)"
"256954","Afroditi Latinopoulou","Greece","Patriots for Europe Group"
"257097","Alberico Gambino","Italy","European Conservatives and Reformists Group"
"36392","Aldo Patriciello","Italy","Patriots for Europe Group"
"256883","Aleksandar Nikolic","France","Patriots for Europe Group"
"124799","Alessandra Moretti","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"257147","Alessandro Ciriani","Italy","European Conservatives and Reformists Group"
"257106","Alessandro Zan","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197403","Alex Agius Saliba","Malta","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197648","Alexander Bernhuber","Austria","Group of the European People's Party (Christian Democrats)"
"256941","Alexander Jungbluth","Germany","Europe of Sovereign Nations Group"
"256959","Alexander Sell","Germany","Europe of Sovereign Nations Group"
"197537","Alexandr Vondra","Czech Republic","European Conservatives and Reformists Group"
"183916","Alexandra Geese","Germany","Group of the Greens/European Free Alliance"
"256980","Alexandra Mehnert","Germany","Group of the European People's Party (Christian Democrats)"
"5736","Alexandre Varaut","France","Patriots for Europe Group"
"257089","Alice Teodorescu Måwe","Sweden","Group of the European People's Party (Christian Democrats)"
"122978","Alicia Homs Ginel","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"257035","Alma Ezcurra","Spain","Group of the European People's Party (Christian Democrats)"
"257019","Alvise Pérez","Spain",""
"257053","Ana Catarina Mendes","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"110673","Ana Miguel Pedro","Portugal","Group of the European People's Party (Christian Democrats)"
"24942","Ana Miranda Paz","Spain","Group of the Greens/European Free Alliance"
"124875","Anders Vistisen","Kingdom of Denmark","Patriots for Europe Group"
"256977","Andrea Wechsler","Germany","Group of the European People's Party (Christian Democrats)"
"197443","Andreas Glück","Germany","Renew Europe Group"
"197670","Andreas Schieder","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"28223","Andreas Schwab","Germany","Group of the European People's Party (Christian Democrats)"
"97968","Andrey Kovatchev","Bulgaria","Group of the European People's Party (Christian Democrats)"
"107212","Andrey Novakov","Bulgaria","Group of the European People's Party (Christian Democrats)"
"257051","Andrzej Buła","Poland","Group of the European People's Party (Christian Democrats)"
"197514","Andrzej Halicki","Poland","Group of the European People's Party (Christian Democrats)"
"23816","András Gyürk","Hungary","Patriots for Europe Group"
"256860","András László","Hungary","Patriots for Europe Group"
"257066","André Rodrigues","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197690","André Rougé","France","Patriots for Europe Group"
"4289","Angelika Niebler","Germany","Group of the European People's Party (Christian Democrats)"
"197652","Angelika Winzig","Austria","Group of the European People's Party (Christian Democrats)"
"256896","Angéline Furet","France","Patriots for Europe Group"
"256951","Anja Arndt","Germany","Europe of Sovereign Nations Group"
"125023","Anja Hazekamp","Kingdom of the Netherlands",""
"257064","Anna Bryłka","Poland","Patriots for Europe Group"
"86793","Anna Cavazzini","Germany","Group of the Greens/European Free Alliance"
"257131","Anna Maria Cisint","Italy","Patriots for Europe Group"
"256990","Anna Strolenberg","Kingdom of the Netherlands","Group of the Greens/European Free Alliance"
"256839","Anna Stürgkh","Austria","Renew Europe Group"
"197572","Anna Zalewska","Poland","European Conservatives and Reformists Group"
"198073","Anna-Maja Henriksson","Finland","Renew Europe Group"
"257169","Annalisa Corrado","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"256859","Annamária Vicsek","Hungary","Patriots for Europe Group"
"256876","Anne-Sophie Frigout","France","Patriots for Europe Group"
"257438","Anouk van Brug","Kingdom of the Netherlands","Renew Europe Group"
"256910","Anthony Smith","France",""
"257113","Antonella Sberna","Italy","European Conservatives and Reformists Group"
"257122","Antonio Decaro","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"28399","Antonio López-Istúriz White","Spain","Group of the European People's Party (Christian Democrats)"
"257050","António Tânger","Portugal","Patriots for Europe Group"
"257238","Aodhán Ó Ríordáin","Ireland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"256911","Arash Saeidi","France",""
"197406","Arba Kokalari","Sweden","Group of the European People's Party (Christian Democrats)"
"257060","Arkadiusz Mularczyk","Poland","European Conservatives and Reformists Group"
"256948","Arno Bausemer","Germany","Europe of Sovereign Nations Group"
"197558","Asger Christensen","Kingdom of Denmark","Renew Europe Group"
"197469","Assita Kanko","Belgium","European Conservatives and Reformists Group"
"103246","Auke Zijlstra","Kingdom of the Netherlands","Patriots for Europe Group"
"98219","Aura Salla","Finland","Group of the European People's Party (Christian Democrats)"
"256811","Aurelijus Veryga","Lithuania","European Conservatives and Reformists Group"
"197697","Aurore Lalucq","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"96761","Axel Voss","Germany","Group of the European People's Party (Christian Democrats)"
"256881","Barbara Bonte","Belgium","Patriots for Europe Group"
"204332","Barry Andrews","Ireland","Renew Europe Group"
"257297","Barry Cowen","Ireland","Renew Europe Group"
"197780","Bart Groothuis","Kingdom of the Netherlands","Renew Europe Group"
"197492","Bartosz Arłukowicz","Poland","Group of the European People's Party (Christian Democrats)"
"86057","Bartłomiej Sienkiewicz","Poland","Group of the European People's Party (Christian Democrats)"
"96725","Bas Eickhout","Kingdom of the Netherlands","Group of the Greens/European Free Alliance"
"197553","Beata Szydło","Poland","European Conservatives and Reformists Group"
"257139","Benedetta Scuderi","Italy","The Greens–European Free Alliance"
"197543","Bernard Guetta","France","Renew Europe Group"
"197773","Bert-Jan Ruissen","Kingdom of the Netherlands","European Conservatives and Reformists Group"
"112748","Biljana Borzan","Croatia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197818","Billy Kelleher","Ireland","Renew Europe Group"
"96932","Birgit Sippel","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197545","Bogdan Rzońca","Poland","European Conservatives and Reformists Group"
"125204","Borja Giménez Larraz","Spain","Group of the European People's Party (Christian Democrats)"
"257047","Borys Budka","Poland","Group of the European People's Party (Christian Democrats)"
"124867","Brando Benifei","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"257018","Branislav Ondruš","Slovakia",""
"220908","Branko Grims","Slovenia","Group of the European People's Party (Christian Democrats)"
"256976","Brigitte van den Berg","Kingdom of the Netherlands","Renew Europe Group"
"257059","Bruno Gonçalves","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"256885","Bruno Tobback","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"230085","Camilla Laureti","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"257071","Carla Tavares","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"257093","Carlo Ciccioli","Italy","European Conservatives and Reformists Group"
"96810","Carlo Fidanza","Italy","European Conservatives and Reformists Group"
"257034","Carmen Crespo","Spain","Group of the European People's Party (Christian Democrats)"
"256927","Carola Rackete","Germany",""
"257140","Carolina Morace","Italy",""
"257063","Catarina Martins","Portugal",""
