mep_id,name,country,party,value_score,value_reasons
23788,"Adam Bielan","Poland","European Conservatives and Reformists Group",65,"Excellent attendance (98.6%); High voting participation (1198 votes); Large country representative (Poland)"
256941,"Alexander Jungbluth","Germany","Europe of Sovereign Nations Group",65,"Excellent attendance (99.3%); High voting participation (1207 votes); Large country representative (Germany)"
256959,"Alexander Sell","Germany","Europe of Sovereign Nations Group",65,"Excellent attendance (98.8%); High voting participation (1201 votes); Large country representative (Germany)"
183916,"Alexandra Geese","Germany","Group of the Greens/European Free Alliance",65,"Excellent attendance (98.8%); High voting participation (1200 votes); Large country representative (Germany)"
122978,"Alicia Homs Ginel","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (99.3%); High voting participation (1207 votes); Large country representative (Spain)"
24942,"Ana Miranda Paz","Spain","Group of the Greens/European Free Alliance",65,"Excellent attendance (98.3%); High voting participation (1194 votes); Large country representative (Spain)"
197514,"Andrzej Halicki","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (99.2%); High voting participation (1205 votes); Large country representative (Poland)"
256896,"Angéline Furet","France","Patriots for Europe Group",65,"Excellent attendance (98.8%); High voting participation (1201 votes); Large country representative (France)"
256951,"Anja Arndt","Germany","Europe of Sovereign Nations Group",65,"Excellent attendance (98.8%); High voting participation (1200 votes); Large country representative (Germany)"
86793,"Anna Cavazzini","Germany","Group of the Greens/European Free Alliance",65,"Excellent attendance (99.4%); High voting participation (1208 votes); Large country representative (Germany)"
197572,"Anna Zalewska","Poland","European Conservatives and Reformists Group",65,"Excellent attendance (98.5%); High voting participation (1197 votes); Large country representative (Poland)"
256910,"Anthony Smith","France","",65,"Excellent attendance (98.8%); High voting participation (1200 votes); Large country representative (France)"
257122,"Antonio Decaro","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (99.3%); High voting participation (1206 votes); Large country representative (Italy)"
86057,"Bartłomiej Sienkiewicz","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (98.1%); High voting participation (1192 votes); Large country representative (Poland)"
257139,"Benedetta Scuderi","Italy","The Greens–European Free Alliance",65,"Excellent attendance (98.8%); High voting participation (1200 votes); Large country representative (Italy)"
197545,"Bogdan Rzońca","Poland","European Conservatives and Reformists Group",65,"Excellent attendance (99.3%); High voting participation (1206 votes); Large country representative (Poland)"
125204,"Borja Giménez Larraz","Spain","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (99.1%); High voting participation (1204 votes); Large country representative (Spain)"
230085,"Camilla Laureti","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (99.1%); High voting participation (1204 votes); Large country representative (Italy)"
94649,"Catherine Griset","France","Patriots for Europe Group",65,"Excellent attendance (99.3%); High voting participation (1206 votes); Large country representative (France)"
257101,"Cecilia Strada","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (98.7%); High voting participation (1199 votes); Large country representative (Italy)"
197475,"Christine Anderson","Germany","Europe of Sovereign Nations Group",65,"Excellent attendance (98.8%); High voting participation (1200 votes); Large country representative (Germany)"
256946,"Christine Singer","Germany","Renew Europe Group",65,"Excellent attendance (98.5%); High voting participation (1197 votes); Large country representative (Germany)"
261797,"Christophe Bay","France","Patriots for Europe Group",65,"Excellent attendance (99.3%); High voting participation (1207 votes); Large country representative (France)"
106936,"Daniel Freund","Germany","Group of the Greens/European Free Alliance",65,"Excellent attendance (99.5%); High voting participation (1209 votes); Large country representative (Germany)"
257145,"Daniele Polato","Italy","European Conservatives and Reformists Group",65,"Excellent attendance (98.6%); High voting participation (1198 votes); Large country representative (Italy)"
124813,"Dario Tamburrano","Italy","",65,"Excellent attendance (98.4%); High voting participation (1196 votes); Large country representative (Italy)"
257031,"Dariusz Joński","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (98.4%); High voting participation (1195 votes); Large country representative (Poland)"
239260,"Denis Nesci","Italy","European Conservatives and Reformists Group",65,"Excellent attendance (99.6%); High voting participation (1210 votes); Large country representative (Italy)"
257001,"Elena Sancho","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (99%); High voting participation (1203 votes); Large country representative (Spain)"
256913,"Emma Fourreau","France","",65,"Excellent attendance (98.9%); High voting participation (1202 votes); Large country representative (France)"
197462,"Erik Marquardt","Germany","Group of the Greens/European Free Alliance",65,"Excellent attendance (98.2%); High voting participation (1193 votes); Large country representative (Germany)"
197525,"Ewa Kopacz","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (99.4%); High voting participation (1208 votes); Large country representative (Poland)"
124858,"Fabio De Masi","Germany","",65,"Excellent attendance (99.7%); High voting participation (1211 votes); Large country representative (Germany)"
189065,"France Jamet","France","Patriots for Europe Group",65,"Excellent attendance (99.9%); High voting participation (1214 votes); Large country representative (France)"
257163,"Francesco Torselli","Italy","European Conservatives and Reformists Group",65,"Excellent attendance (98.7%); High voting participation (1199 votes); Large country representative (Italy)"
197577,"Gilles Boyer","France","Renew Europe Group",65,"Excellent attendance (99.2%); High voting participation (1205 votes); Large country representative (France)"
257124,"Giuseppe Lupo","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (99.2%); High voting participation (1205 votes); Large country representative (Italy)"
197464,"Hannah Neumann","Germany","Group of the Greens/European Free Alliance",65,"Excellent attendance (98.1%); High voting participation (1192 votes); Large country representative (Germany)"
96787,"Herbert Dorfmann","Italy","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (99.1%); High voting participation (1204 votes); Large country representative (Italy)"
257127,"Ilaria Salis","Italy","The Left in the European Parliament - GUE/NGL",65,"Excellent attendance (98.5%); High voting participation (1197 votes); Large country representative (Italy)"
256945,"Irmhild Boßdorf","Germany","Europe of Sovereign Nations Group",65,"Excellent attendance (98.6%); High voting participation (1198 votes); Large country representative (Germany)"
257082,"Jagna Marczułajtis","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (98.8%); High voting participation (1200 votes); Large country representative (Poland)"
197432,"Jan-Christoph Oetjen","Germany","Renew Europe Group",65,"Excellent attendance (99.3%); High voting participation (1206 votes); Large country representative (Germany)"
257084,"Joanna Scheuring-Wielgus","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (98.8%); High voting participation (1201 votes); Large country representative (Poland)"
125052,"Juan Carlos Girauta","Spain","Patriots for Europe Group",65,"Excellent attendance (98.7%); High voting participation (1199 votes); Large country representative (Spain)"
88552,"Julien Sanchez","France","Patriots for Europe Group",65,"Excellent attendance (99.8%); High voting participation (1213 votes); Large country representative (France)"
256965,"Kai Tegethoff","Germany","Group of the Greens/European Free Alliance",65,"Excellent attendance (99.3%); High voting participation (1207 votes); Large country representative (Germany)"
257032,"Kamila Gasiuk-Pihowicz","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (98.7%); High voting participation (1199 votes); Large country representative (Poland)"
124884,"Kosma Złotowski","Poland","European Conservatives and Reformists Group",65,"Excellent attendance (99.1%); High voting participation (1204 votes); Large country representative (Poland)"
